ID,Genre
1319,nightcore
1320,saskatchewan indie
1321,swedish death metal
1322,hamburg electronic
1323,canadian americana
1324,umbanda
1325,souldies
1326,anti-folk
1327,riot grrrl
1328,monterrey indie
1329,mexican classic rock
1330,new orleans jazz
1331,organic house
1332,dixieland
1333,cosmic american
1334,rap feminino nacional
1335,british alternative rock
1336,indonesian idol pop
1337,jawaiian
1338,mariachi cristiano
1339,classic cantopop
1340,romantico
1341,german power metal
1342,classic disco polo
1343,musique pour enfants
1344,swedish tropical house
1345,discofox
1346,chilena
1347,j-metal
1348,welsh rock
1349,bulgarian pop
1350,virginia hip hop
1351,brega paraense
1352,thai trap
1353,grungegaze
1354,chicago hardcore
1355,sludge metal
1356,pacific islands pop
1357,south african rock
1358,swedish indie rock
1359,russian post-punk
1360,smooth saxophone
1361,ukrainian rock
1362,chicago soul
1363,samba moderno
1364,freestyle
1365,american shoegaze
1366,latin metal
1367,german reggae
1368,danish metal
1369,rock mineiro
1370,sound team
1371,canadian electropop
1372,drone
1373,regional mexicano femenil
1374,indian edm
1375,j-idol
1376,okinawan pop
1377,sandalwood
1378,scottish new wave
1379,indie jazz
1380,afrikaans
1381,nz reggae
1382,israeli rock
1383,oklahoma country
1384,viking metal
1385,christian trap
1386,brega
1387,buffalo hip hop
1388,kazakh pop
1389,chill lounge
1390,belly dance
1391,minimal tech house
1392,icelandic pop
1393,classic indo pop
1394,oakland indie
1395,surf punk
1396,australian trap
1397,brutal death metal
1398,christian metal
1399,japanese vtuber
1400,south african hip hop
1401,rhode island rap
1402,austrian pop
1403,shaabi
1404,celtic metal
1405,salsa peruana
1406,tecnobrega
1407,indian lo-fi
1408,transpop
1409,chillstep
1410,japanese trap
1411,egyptian alternative
1412,jersey club
1413,experimental
1414,channel pop
1415,czech drill
1416,texas metal
1417,polish rock
1418,norwegian pop rap
1419,indonesian lo-fi pop
1420,samba de roda
1421,sda a cappella
1422,harlem hip hop
1423,danish pop rock
1424,canadian ccm
1425,russian emo rap
1426,pinoy city pop
1427,slayer
1428,memphis phonk
1429,danspunk
1430,polish alternative rap
1431,uk pop punk
1432,indie rock mexicano
1433,bhangra
1434,russian punk
1435,chill dream pop
1436,quran
1437,classic turkish pop
1438,dark techno
1439,gothenburg indie
1440,musica gaucha tradicionalista
1441,boston indie
1442,quebec indie
1443,uk house
1444,psychedelic trance
1445,neoclassical darkwave
1446,oc rap
1447,rave
